0 ,      0,00 , 0,00
1 ,      4,93 , 9,13
2 ,      5,11 , 8,94
3 ,      5,03 , 17,96
4 ,      9,06 , 11,79
5 ,      6,97 , 21,59
6 ,     17,93 , 26,13
7 ,     10,30 , 17,44
8 ,     12,50 , 37,51
9 ,     16,06 , 23,19
10 ,     14,84 , 26,91
11 ,     14,58 , 30,80
12 ,     24,95 , 45,98
13 ,     16,87 , 35,95
14 ,     16,93 , 39,60
15 ,     20,04 , 42,41
16 ,     18,88 , 60,61
17 ,     22,55 , 44,03
18 ,     23,51 , 53,42
19 ,     38,64 , 72,56
20 ,     28,38 , 68,78
21 ,     24,22 , 88,32
22 ,     27,47 , 55,51
23 ,     26,73 , 129,29
24 ,     62,69 , 78,61
25 ,     41,45 , 90,57
26 ,     31,68 , 92,56
27 ,     31,50 , 61,63
28 ,     34,11 , 78,12
29 ,     41,38 , 78,00
