N , Arraylist , Linked list
0 ,      0,00 , 0,00
1 ,      2,98 , 3,40
2 ,      4,30 , 0,54
3 ,      7,15 , 0,70
4 ,     11,14 , 0,60
5 ,     18,57 , 0,40
6 ,     29,37 , 1,24
7 ,     39,05 , 2,27
8 ,     51,33 , 2,62
9 ,     70,02 , 0,45
10 ,     70,87 , 0,51
11 ,     86,38 , 0,86
12 ,    102,71 , 0,64
13 ,    119,21 , 0,72
14 ,    138,71 , 0,73
15 ,    158,70 , 0,76
16 ,    182,84 , 0,86
17 ,    208,17 , 1,47
18 ,    309,36 , 2,48
19 ,    291,02 , 1,02
20 ,    330,22 , 1,29
21 ,    321,48 , 1,12
22 ,    371,30 , 1,22
23 ,    416,40 , 1,21
24 ,    425,18 , 1,92
25 ,    500,06 , 1,92
26 ,    673,25 , 1,69
27 ,    728,31 , 2,50
28 ,    656,25 , 2,52
29 ,    873,24 , 3,27
